Log HR Apixaban Stroke,Log HR Apixaban MI,Log HR Apixaban Bleed,Log HR Apixaban ICH,Log HR Apixaban Death,Log HR Apixaban SE,Log HR Apixaban TIA,Log HR Dabigatran Stroke,Log HR Dabigatran MI,Log HR Dabigatran Bleed,Log HR Dabigatran ICH,Log HR Dabigatran Death,Log HR Dabigatran SE,Log HR Dabigatran TIA,Log HR Edoxaban Stroke,Log HR Edoxaban MI,Log HR Edoxaban Bleed,Log HR Edoxaban ICH,Log HR Edoxaban Death,Log HR Edoxaban SE,Log HR Edoxaban TIA
-0.1429,-0.2699,-0.2609,-0.7332,-0.1152,-0.7068,1.48,-0.4128,0.1883,0.08992,-0.937,-0.1083,-0.3413,0.7733,-0.06116,-0.01792,-0.163,-0.8693,-0.1118,-0.1746,0.05426
-0.04547,-0.1145,-0.2609,-0.7332,-0.1152,-0.7068,1.48,-0.4128,0.1883,0.08992,-0.937,-0.1083,-0.3413,-1.133,-0.06116,-0.01792,-0.163,-0.8693,-0.1118,-0.1746,-0.9086
-0.02748,-0.1145,-0.2609,-0.7332,-0.1152,-0.7068,-0.06427,-0.4128,0.1883,0.09203,-0.937,-0.1083,-0.3413,0.3626,0.11,-0.01792,-0.207,-0.6084,-0.1118,-0.1746,-0.8048
0.01623,-0.1145,-0.2905,-0.7332,-0.1152,-0.7068,-0.06427,-0.4128,0.1883,0.09203,-0.937,-0.1083,-0.2733,0.4075,-0.06876,0.0976,-0.207,-0.6084,-0.1118,0.03084,-0.8779
0.01623,-0.1985,-0.2741,-0.7332,-0.1152,-0.7068,-0.06427,-0.4128,0.1883,-0.04351,-0.937,-0.1083,-0.3243,-0.4414,-0.06876,0.0976,-0.1795,-0.6084,-0.1017,0.03084,-1.92
-0.1082,-0.1985,-0.2741,-0.7293,-0.1152,-0.7068,0.3796,-0.4128,0.1883,-0.04351,-0.937,-0.1083,-0.4548,2.895,-0.0521,0.03882,-0.1795,-0.6084,-0.1044,3.98E-05,-1.085
-0.1082,-0.1985,-0.2741,-0.6765,-0.08667,-0.7068,0.3796,-0.4128,0.1883,-0.04351,-0.937,-0.1083,-0.5718,0.5351,-0.0521,0.03882,-0.1714,-0.6084,-0.03842,3.98E-05,-2.544
-0.2592,-0.2073,-0.2584,-0.6259,-0.07571,-0.5943,-1.96,-0.2516,0.1883,-0.04351,-0.937,-0.1083,-0.5718,-1.902,-0.2034,0.03882,-0.1714,-0.6084,-0.03842,3.98E-05,-0.03421
-0.2631,-0.2073,-0.2584,-0.6944,-0.07571,-0.5943,0.2026,-0.2516,0.1883,-0.04351,-0.937,-0.1235,-0.4332,-2.015,-0.1112,-0.1381,-0.1714,-0.5429,-0.03842,3.98E-05,1.665
-0.2631,-0.2073,-0.2584,-0.8617,-0.09404,-0.8505,0.2026,-0.3011,0.0749,-0.04351,-1.136,-0.1294,-0.4332,-0.6307,-0.1112,-0.1381,-0.1714,-0.5429,-0.03842,3.98E-05,-0.1563
-0.2631,-0.2073,-0.2584,-0.8617,-0.09404,-0.4334,0.2026,-0.3011,0.0749,-0.04351,-1.136,-0.07102,-0.4332,-1.639,-0.1112,-0.1631,-0.1714,-0.5429,-0.03842,3.98E-05,0.3851
-0.2631,-0.05091,-0.1792,-0.8617,-0.09404,-0.4334,-1.984,-0.3011,0.0749,-0.04351,-1.136,-0.1764,-0.4332,3.392,-0.1112,-0.1631,-0.1366,-0.5429,-0.02756,-0.004822,-2.488
-0.2631,-0.05091,-0.1792,-0.8617,-0.09404,-0.4334,0.7237,-0.3011,0.0749,-0.04351,-0.9336,-0.2191,-0.4332,1.971,-0.1112,-0.1631,-0.1686,-0.5429,-0.02756,-0.358,-0.2154
-0.2951,-0.05091,-0.1792,-0.6958,-0.09404,-0.4334,0.7237,-0.3011,0.009441,-0.04351,-0.9336,-0.1333,-0.4332,-2.435,-0.1112,-0.1631,-0.1686,-0.5429,-0.02756,-0.358,-1.098
-0.2951,-0.05091,-0.1792,-0.6958,-0.09404,-0.5172,-1.187,-0.3011,0.009441,-0.04351,-0.9336,-0.1333,-0.4332,0.379,-0.1112,-0.1631,-0.1686,-0.5133,0.001456,-0.358,-0.2273
-0.1603,-0.05091,-0.2299,-0.8356,-0.1534,-0.5612,-1.187,-0.3011,0.009441,-0.04351,-1.034,-0.1333,-0.4332,1.093,-0.1112,-0.1631,-0.1686,-0.6668,-0.09154,-0.5184,0.4345
-0.1589,-0.05091,-0.2299,-0.7493,-0.1534,-0.5612,-1.187,-0.1944,0.009441,-0.04351,-1.034,-0.1333,-0.4332,3.149,-0.1356,-0.1631,-0.1686,-0.9924,-0.09154,-0.3995,-1.196
-0.01856,-0.05091,-0.2299,-0.7493,-0.1534,-0.5552,-0.01615,-0.1944,0.009441,-0.04351,-1.034,-0.179,-0.3866,-1.755,-0.1356,-0.1631,-0.1686,-1.007,-0.09154,-0.6419,1.6
-0.01856,-0.2354,-0.2135,-0.7767,-0.1534,-0.5552,-0.01615,-0.1944,0.009441,-0.01106,-1.034,-0.1957,-0.3866,1.632,-0.04156,-0.1631,-0.1686,-1.007,-0.09154,-0.6105,0.7312
-0.01856,-0.2354,-0.2135,-0.7767,-0.1727,-0.5552,-0.01615,-0.1944,0.009441,0.02346,-1.034,-0.1332,-0.3866,0.9112,-0.04156,-0.1631,-0.1686,-1.007,-0.001336,-0.6105,1.863
0.05825,-0.2354,-0.2135,-0.7767,-0.1727,-0.5552,-0.01615,-0.1944,0.009441,0.02346,-1.034,-0.08606,-0.593,-1.51,-0.04156,-0.1631,-0.1686,-1.007,-0.03592,-0.7061,-0.1513
0.05825,-0.2354,-0.2135,-0.7767,-0.1727,-0.5552,-0.01615,-0.1542,0.009441,0.02346,-1.034,-0.1841,-0.4367,-0.2877,-0.2242,-0.1631,-0.1686,-1.007,-0.03592,-0.7061,1.187
0.05825,-0.2354,-0.2135,-0.7767,-0.1727,-0.4226,-0.1853,-0.1542,0.009441,0.02346,-1.082,-0.1841,-0.4367,-1.605,0.06212,-0.1631,-0.1218,-1.007,-0.1315,-0.7061,2.597
0.05825,-0.3012,-0.2025,-0.7767,-0.09725,-0.5588,-0.1853,-0.1542,0.009441,-0.09146,-1.093,-0.1841,-0.4367,0.1525,0.06519,-0.1631,-0.1218,-0.8554,-0.1315,-0.7061,0.6552
0.05825,-0.3481,-0.2841,-0.7767,-0.09725,-0.4349,-0.1853,-0.1542,0.2238,-0.09462,-1.093,-0.09338,-0.4367,1.858,0.06519,-0.1631,-0.1218,-0.8554,-0.1074,-0.7061,0.7945
-0.05144,-0.1809,-0.2841,-0.7767,-0.139,-0.534,-0.1853,-0.1542,-0.06561,-0.09462,-1.093,-0.09338,-0.4367,-0.7655,-0.1893,0.01461,-0.1218,-0.8554,-0.1074,-0.7061,-1.744
-0.05144,-0.1809,-0.3135,-0.8668,-0.139,-0.534,-0.1853,-0.1542,-0.06561,0.02279,-0.8333,-0.2209,-0.4367,2.801,-0.1182,0.01461,-0.1218,-0.8442,-0.06686,-0.7831,-3.618
-0.05144,-0.1809,-0.3305,-0.6996,-0.139,-0.534,-0.1853,-0.1542,-0.06561,0.02279,-0.8333,-0.1971,-0.227,-0.0381,0.04441,-0.0457,-0.1218,-0.8442,-0.06686,-0.2325,-1.414
-0.05144,-0.1809,-0.3305,-0.6996,-0.139,-0.534,-0.1853,-0.1542,-0.06561,0.02279,-0.8541,-0.1971,-0.3435,-0.2005,-0.04952,-0.0457,-0.1218,-0.8442,-0.06686,-0.2325,-1.99
-0.1079,-0.1809,-0.3305,-0.6996,-0.139,-0.534,0.7784,-0.1542,-0.06561,0.02279,-0.8541,-0.1484,-0.467,0.6862,-0.04952,-0.0457,-0.1218,-0.8442,-0.06686,-0.2445,1.206
-0.1079,-0.1809,-0.3305,-1.057,-0.139,-0.534,0.7784,-0.1542,0.1644,0.02279,-0.8541,-0.1484,-0.467,1.5,-0.04952,-0.0457,-0.09969,-0.8442,-0.06686,-0.2445,-2.217
-0.1079,-0.1809,-0.3305,-0.8678,-0.139,-0.534,0.7784,-0.1542,0.1644,0.06981,-0.8309,-0.1704,-0.467,-2.549,-0.008816,-0.1994,-0.09969,-0.8442,-0.06686,-0.2445,2.274
-0.1079,-0.1809,-0.3305,-0.8678,-0.2046,-0.534,0.7784,-0.17,0.1644,0.03853,-0.8309,-0.1704,-0.467,0.3437,-0.1895,-0.1994,-0.09969,-0.9327,-0.06686,-0.2445,-1.187
-0.1079,-0.1809,-0.3353,-0.8678,-0.2046,-0.534,0.7784,-0.17,0.1644,0.03853,-0.8309,-0.1704,-0.467,0.2414,-0.03739,-0.1994,-0.09969,-0.8512,-0.06686,-0.2445,-1.628
-0.1079,-0.1809,-0.3353,-0.926,-0.2046,-0.534,0.7784,-0.17,0.1644,0.02559,-0.7536,-0.08716,-0.467,-2.976,-0.03739,-0.1994,-0.09969,-0.866,-0.06686,-0.2445,2.222
-0.1079,-0.1809,-0.3385,-0.926,-0.2046,-0.534,0.7784,-0.17,0.1644,0.02559,-0.7536,-0.08716,-0.467,1.197,-0.03739,-0.1994,-0.09969,-0.8181,-0.06686,-0.2445,0.8601
